,route_id,stop_name_1,stop_name_2
0,00001.000044.018:1,LES BRENETS,LES FRETES
1,00001.000044.018:1,LES FRETES,LE LOCLE LE CHALET
2,00001.000044.018:1,LE LOCLE LE CHALET,LE LOCLE
3,00001.000104.001:1,BRIENZ BRB,PLANALP
4,00001.000104.001:1,PLANALP,BRIENZER ROTHORN
5,00003.000011.101:3,BASEL BAD BF,BASEL SBB
6,00003.000011.101:3,BASEL SBB,HAUENSTEIN-BASISTUNNEL
7,00003.000011.101:3,HAUENSTEIN-BASISTUNNEL,ZURICH HB
8,00003.000011.102:3,BASEL SBB,HAUENSTEIN-BASISTUNNEL
9,00003.000011.102:3,HAUENSTEIN-BASISTUNNEL,ZURICH HB
10,00003.000011.102:3,ZURICH HB,ZIMMERBERG-BASISTUNNEL
11,00003.000011.102:3,ZIMMERBERG-BASISTUNNEL,SARGANS
12,00003.000011.102:3,SARGANS,LANDQUART
13,00003.000011.102:3,LANDQUART,CHUR
14,00003.000011.103:3,BASEL SBB,HAUENSTEIN-BASISTUNNEL
15,00003.000011.103:3,HAUENSTEIN-BASISTUNNEL,ZURICH HB
16,00003.000011.107:3,BASEL BAD BF,BASEL SBB
17,00003.000011.107:3,BASEL SBB,HAUENSTEIN-BASISTUNNEL
18,00003.000011.107:3,HAUENSTEIN-BASISTUNNEL,ZURICH HB
19,00003.000011.107:3,ZURICH HB,ZIMMERBERG-BASISTUNNEL
20,00003.000011.107:3,ZIMMERBERG-BASISTUNNEL,SARGANS
21,00003.000011.107:3,SARGANS,LANDQUART
22,00003.000011.107:3,LANDQUART,CHUR
23,00003.000093.001:3,TASCH,ZERMATT
24,00004.000011.102:4,BASEL SBB,BASEL BAD BF
25,00004.000097.001:4,STE-CROIX,SIX-FONTAINES
26,00004.000097.001:4,SIX-FONTAINES,BAULMES
27,00004.000097.001:4,BAULMES,VUITEBOEUF
28,00004.000097.001:4,VUITEBOEUF,ESSERT-SOUS-CHAMPVENT
29,00004.000097.001:4,ESSERT-SOUS-CHAMPVENT,VALEYRES-SOUS-MONTAGNY
30,00004.000097.001:4,VALEYRES-SOUS-MONTAGNY,LA BRINAZ
31,00004.000097.001:4,LA BRINAZ,YVERDON-LES-BAINS
32,00005.000097.001:5,YVERDON-LES-BAINS,YVERDON WILLIAM BARBEY
33,00005.000097.001:5,YVERDON WILLIAM BARBEY,LA BRINAZ
34,00005.000097.001:5,LA BRINAZ,VALEYRES-SOUS-MONTAGNY
35,00005.000097.001:5,VALEYRES-SOUS-MONTAGNY,ESSERT-SOUS-CHAMPVENT
36,00005.000097.001:5,ESSERT-SOUS-CHAMPVENT,VUITEBOEUF
37,00005.000097.001:5,VUITEBOEUF,BAULMES
38,00005.000097.001:5,BAULMES,SIX-FONTAINES
39,00005.000097.001:5,SIX-FONTAINES,STE-CROIX
40,00005.000136.001:5,ALPNACHSTAD PB,AEMSIGEN
41,00005.000136.001:5,AEMSIGEN,PILATUS KULM
42,00005.000371.001:5,BLONAY,CHAMBY
43,00005.000371.001:5,CHAMBY,CHAMBY-MUSEE
44,00006.000011.101:6,INTERLAKEN OST,INTERLAKEN WEST
45,00006.000011.101:6,INTERLAKEN WEST,SPIEZ
46,00006.000011.101:6,SPIEZ,THUN
47,00006.000011.101:6,THUN,BERN
48,00006.000011.101:6,BERN,BAHN-2000-STRECKE
49,00006.000011.101:6,BAHN-2000-STRECKE,OLTEN
